TITLE,WORDS
bucher3,au bucher
cest_honteux,honteux
cest_pas_faux2,pas faux
cuillere_2,cuillère
et_vous_bande_de_cons,et vous
boule-de-feu-boule-de-feu,feu
ca_me_fait_gerber,gerber
casuffit,ça suffit
comment,comment
et_puis_quoi_encore,et puis quoi
fumier,fumier
meteo,meteo
ni_vu_ni_connu,ni vu ni connu
on_en_a_gros,on en a gros
tres_bien,tres bien
ya_pas_de_mal,pas de mal
